xplane,yplane,xrocket,yrocket,vc,xnc,rtm,time
39999.99,11999.99,1889.038,804.4751,3946.13565803813,3384.19291044232,39771.1784185824,
39999.99,11999.99,1934.802,823.7332,3946.18863073766,3382.55471276549,39721.331110724,
39999.99,11999.99,1981.183,843.2544,3946.2409847495,3380.93481762849,39671.9953556973,
39999.99,11999.99,2027.222,862.6129,3946.29418088345,3379.28801928222,39621.9930210614,
39999.99,11999.99,2073.573,882.0989,3946.34692608359,3377.65433643177,39572.3663061262,
39999.99,11999.99,2120.168,901.6816,3946.40010247121,3376.00644626929,39522.4048582497,
39999.99,11999.99,2166.012,920.9215,3946.4536181893,3374.34717551421,39472.1833033011,
39999.99,11999.99,2212.13,940.2717,3946.50613273354,3372.71810163,39422.7798480784,
39999.99,11999.99,2258.203,959.5918,3946.55902690534,3371.07640399356,39373.0829757343,
39999.99,11999.99,2304.246,978.8875,3946.61187226833,3369.43537096374,39323.4378672324,
39999.99,11999.99,2350.741,998.3714,3946.66468704041,3367.79443748428,39273.8298583359,
39999.99,11999.99,2397.167,1017.815,3946.71812146948,3366.13338506432,39223.73650273,
39999.99,11999.99,2443.824,1037.348,3946.77147559249,3364.47395820121,39173.7202320892,
39999.99,11999.99,2489.059,1056.245,3946.82515170229,3362.80363749906,39123.4585106009,
39999.99,11999.99,2535.443,1075.637,3946.87692350929,3361.19173901126,39074.7412875071,
39999.99,11999.99,2581.156,1094.723,3946.93025252442,3359.530496896,39024.7830145256,
39999.99,11999.99,2627.805,1114.209,3946.98268848007,3357.89622167146,38975.5549056632,
39999.99,11999.99,2673.974,1133.474,3947.03639741607,3356.22139360384,38925.3176451054,
39999.99,11999.99,2720.749,1152.994,3947.08946879974,3354.56557275806,38875.6039626838,
39999.99,11999.99,2767.044,1172.292,3947.14337195614,3352.8829102253,38825.2369804134,
39999.99,11999.99,2812.844,1191.362,3947.19663512343,3351.21934305026,38775.3949146768,
39999.99,11999.99,2858.979,1210.568,3947.24924159065,3349.57542392385,38726.0924328079,
39999.99,11999.99,2905.342,1229.863,3947.3023123907,3347.91612471673,38676.4298697676,
39999.99,11999.99,2951.399,1249.013,3947.35570052056,3346.24602099347,38626.5258481151,
39999.99,11999.99,2998.581,1268.645,3947.40868711886,3344.58760117244,38576.9561569954,
39999.99,11999.99,3044.795,1287.842,3947.46321039692,3342.88017167003,38526.17200987,
39999.99,11999.99,3091.17,1307.098,3947.51643077894,3341.21264832133,38476.4406046142,
39999.99,11999.99,3136.727,1325.986,3947.56988071081,3339.53704154194,38426.5383781204,
39999.99,11999.99,3182.866,1345.117,3947.62223724071,3337.89484484507,38377.5249701784,
39999.99,11999.99,3228.794,1364.146,3947.67538959914,3336.22680737562,38327.8862253893,
39999.99,11999.99,3275.938,1383.694,3947.72826841008,3334.5664742181,38278.4791923092,
39999.99,11999.99,3322.142,1402.821,3947.78280773479,3332.85308174411,38227.760367199,
39999.99,11999.99,3368.381,1421.952,3947.83608237846,3331.17851570149,38178.0623250711,
39999.99,11999.99,3414.51,1441.024,3947.88941507889,3329.50122812148,38128.33074541,
39999.99,11999.99,3460.972,1460.23,3947.94261062418,3327.82735896674,38078.72157781,
39999.99,11999.99,3506.998,1479.235,3947.99626853167,3326.13803401977,38028.7563054913,
39999.99,11999.99,3555.263,1499.205,3948.04934664473,3324.4660653634,37979.2666702304,
39999.99,11999.99,3600.111,1517.677,3948.1054892021,3322.69659330791,37927.3588769158,
39999.99,11999.99,3646.315,1536.727,3948.15700217227,3321.07215292786,37879.1497643992,
39999.99,11999.99,3692.089,1555.579,3948.21035499249,3319.38880319073,37829.4795358605,
39999.99,11999.99,3738.576,1574.73,3948.2631382385,3317.72253130568,37780.2769597362,
39999.99,11999.99,3784.841,1593.773,3948.31689895244,3316.02448815593,37730.3077180863,
39999.99,11999.99,3831.506,1612.978,3948.37036990193,3314.33468057258,37680.5821868315,
39999.99,11999.99,3877.783,1632.004,3948.42439547286,3312.62641572095,37630.428559621,
39999.99,11999.99,3924.769,1651.326,3948.47790471861,3310.93355405792,37580.6985979945,
39999.99,11999.99,3969.996,1669.876,3948.53239089575,3309.20884028405,37530.2059530668,
39999.99,11999.99,4016.333,1688.895,3948.58450227252,3307.55840520829,37481.617924172,
39999.99,11999.99,4063.187,1708.127,3948.63812852509,3305.85907849066,37431.8339923446,
39999.99,11999.99,4109.462,1727.097,3948.69247037014,3304.13612911254,37381.4953126516,
39999.99,11999.99,4156.238,1746.271,3948.74603629432,3302.43684675956,37331.7855929735,
39999.99,11999.99,4202.871,1765.373,3948.80029439924,3300.71465927642,37281.5397836586,
39999.99,11999.99,4248.332,1783.959,3948.85436936694,3298.99733500574,37231.4523792186,
39999.99,11999.99,4294.524,1802.849,3948.90686568205,3297.32923754929,37182.6337980258,
39999.99,11999.99,4340.682,1821.713,3948.96036450366,3295.62836279928,37133.0298509024,
39999.99,11999.99,4387.378,1840.797,3949.01382809152,3293.92767685947,37083.4670141775,
