xplane,yplane,xrocket,yrocket,vc,xnc,xnt,rtm,time,XNC (G)
38106.21,12000,2609.963,1136.228,3941.844909,3514.185953,0,37173.92782,0.9376907,109.1362097
38073.92,12000,2654.415,1155.751,3941.811219,3515.186326,0,37090.61158,0.9538445,109.1672772
38040.41,12000,2700.519,1176.048,3941.767662,3516.479228,0,37010.34994,0.9701882,109.2074294
38005.7,12000,2748.26,1197.114,3941.722886,3517.807782,0,36927.13499,0.9879492,109.2486889
37972.03,12000,2794.568,1217.522,3941.683803,3518.967004,0,36843.13093,1.0047048,109.2846896
37938.71,12000,2840.398,1237.716,3941.643391,3520.165176,0,36761.0205,1.0213956,109.3218999
37905.41,12000,2886.205,1257.907,3941.602156,3521.387316,0,36679.44397,1.0382356,109.3598545
37871.86,12000,2932.352,1278.265,3941.559991,3522.636564,0,36597.65171,1.0548657,109.3986511
37838.18,12000,2978.664,1298.708,3941.517868,3523.88407,0,36515.36933,1.0714707,109.4373935
37805.64,12000,3023.417,1318.434,3941.479449,3525.021478,0,36433.99244,1.0884549,109.4727167
37772.17,12000,3069.443,1338.76,3941.435499,3526.322143,0,36353.42468,1.1047034,109.51311
37738.63,12000,3115.554,1359.134,3941.393265,3527.571532,0,36271.40274,1.1216657,109.5519109
37704.52,12000,3162.453,1379.884,3941.34922,3528.87402,0,36188.73173,1.1387334,109.5923609
37671.35,12000,3208.054,1400.036,3941.309331,3530.053157,0,36106.10422,1.1553164,109.62898
37638.36,12000,3253.409,1420.083,3941.267774,3531.281123,0,36025.06353,1.1713807,109.6671156
37604.64,12000,3299.751,1440.599,3941.223391,3532.592121,0,35943.59452,1.188733,109.7078299
37571.34,12000,3345.527,1460.858,3941.181817,3533.819669,0,35861.44127,1.2053519,109.7459525
37536.84,12000,3392.934,1481.889,3941.135355,3535.191002,0,35778.75873,1.2224747,109.7885404
37502.84,12000,3439.66,1502.609,3941.093048,3536.439211,0,35694.76599,1.2396558,109.8273047
37470.8,12000,3483.708,1522.089,3941.055792,3537.53798,0,35613.38904,1.2554611,109.861428
37436.22,12000,3531.205,1543.188,3941.005845,3539.010489,0,35532.51917,1.272276,109.907158
37402.38,12000,3577.714,1563.833,3940.963814,3540.249123,0,35448.56747,1.2900183,109.9456249
37369.07,12000,3623.472,1584.135,3940.921786,3541.487208,0,35366.21987,1.306278,109.9840748
37336.12,12000,3668.755,1604.224,3940.879503,3542.732311,0,35285.02055,1.3227649,110.0227426
37301.73,12000,3715.981,1625.231,3940.835084,3544.144411,-0.000265988,35202.97324,1.3400649,110.0665966
37269.87,12000,3759.771,1644.639,3940.808211,3545.226505,-0.000741009,35121.20457,1.3561138,110.100202
37235.32,12000,3807.21,1665.763,3940.776815,3546.749437,-0.001524395,35040.63488,1.3731932,110.1474981
37201.53,12000,3853.621,1686.411,3940.767176,3548.034566,-0.00254764,34956.78942,1.3900654,110.1874089
37169.44,12000,3897.705,1705.976,3940.77689,3549.22352,-0.003750998,34875.69436,1.4062701,110.2243329
