xplane,yplane,xrocket,yrocket,vc,xnc,xnt,rtm,time,theta,he,lamda,xlead,vm1,vm2,vt1,vt2,rtm1,rtm2,rtm,vtm1,vtm2
39979.9987792969,12000,55.5498476574888,22.6762930016626,3943.98084299512,3450.12913762364,0,41742.0687363789,0.0005066,0.387568335882297,0,0.291594480717911,0.0959738551643866,2777.49244495623,1133.81467542586,-1000,0,39979.9987792969,12000,41742.0687363789,-3777.49244495623,-1133.81467542586
39959.9975585938,12000,111.099695062622,45.3525866215172,3943.98083979587,3450.12923452149,0,41663.1879516807,0.0030081,0.387568347010899,0,0.291594489143957,0.0959738578669421,2777.49243233846,1133.81470633547,-1000,0,39904.4477109363,11977.3237069983,41663.1879516807,-3777.49243233846,-1133.81470633547
39939.9963378906,12000,166.649542214921,68.0288808607367,3943.98083659055,3450.12933160315,0,41584.3071670465,0.0155157,0.387568358160611,0,0.291594497585987,0.0959738605746241,2777.49241969675,1133.81473730371,-1000,0,39828.896642828,11954.6474133785,41584.3071670465,-3777.49241969675,-1133.81473730371
39919.9951171875,12000,222.199389113906,90.7051757204981,3943.98083337914,3450.12942886931,0,41505.4263824764,0.0222372,0.387568369331513,0,0.291594506044061,0.0959738632874521,2777.49240703102,1133.81476833081,-1000,0,39753.3455749726,11931.9711191393,41505.4263824764,-3777.49240703102,-1133.81476833081
39899.9938964844,12000,277.749235759093,113.381471201983,3943.98083016162,3450.12952632068,0,41426.5455979705,0.038706,0.387568380523686,0,0.291594514518241,0.0959738660054457,2777.49239434117,1133.81479941698,-1000,0,39677.7945073705,11909.2948242795,41426.5455979705,-3777.49239434117,-1133.81479941698
39879.9926757813,12000,333.29908215,136.057767306378,3943.98082693796,3450.12962395796,0,41347.664813529,0.0557136,0.387568391737212,0,0.291594523008587,0.0959738687286246,2777.49238162711,1133.81483056246,-1000,0,39602.2434400222,11886.618528798,41347.664813529,-3777.49238162711,-1133.81483056246
39859.9914550781,12000,388.848928286139,158.734064034872,3943.98082370813,3450.12972178187,0,41268.7840291519,0.0722309,0.387568402972171,0,0.291594531515162,0.0959738714570086,2777.49236888874,1133.81486176748,-1000,0,39526.6923729281,11863.9422326936,41268.7840291519,-3777.49236888874,-1133.81486176748
39839.990234375,12000,444.398774167022,181.410361388663,3943.98082047212,3450.12981979312,0,41189.9032448395,0.0892316,0.387568414228646,0,0.291594540038028,0.0959738741906178,2777.49235612598,1133.81489303225,-1000,0,39451.1413060889,11841.2659359651,41189.9032448395,-3777.49235612598,-1133.81489303225
39819.9890136719,12000,499.948619792161,204.086659368948,3943.98081722991,3450.12991799243,0,41111.0224605918,0.1057437,0.387568425506719,0,0.291594548577247,0.095973876929472,2777.49234333874,1133.81492435701,-1000,0,39375.5902395049,11818.5896386113,41111.0224605918,-3777.49234333874,-1133.81492435701
39799.9877929688,12000,555.498465161064,226.762957976933,3943.98081398145,3450.13001638052,0,41032.1416764089,0.1224593,0.387568436806474,0,0.291594557132882,0.0959738796735915,2777.49233052691,1133.81495574199,-1000,0,39300.0391731766,11795.9133406311,41032.1416764089,-3777.49233052691,-1133.81495574199
39779.9865722656,12000,611.048310273236,249.439257213827,3943.98081072675,3450.13011495812,0,40953.260892291,0.1392584,0.387568448127994,0,0.291594565704997,0.0959738824229966,2777.4923176904,1133.81498718743,-1000,0,39224.4881071046,11773.2370420231,40953.260892291,-3777.4923176904,-1133.81498718743
39759.9853515625,12000,666.598155128182,272.115557080843,3943.98080746576,3450.13021372596,0,40874.3801082382,0.1561349,0.387568459471362,0,0.291594574293655,0.0959738851777076,2777.49230482912,1133.81501869355,-1000,0,39148.9370412893,11750.5607427862,40874.3801082382,-3777.49230482912,-1133.81501869355
39739.9841308594,12000,722.147999725406,294.7918575792,3943.98080419846,3450.13031268478,0,40795.4993242506,0.1726583,0.387568470836664,0,0.291594582898919,0.0959738879377452,2777.49229194297,1133.81505026059,-1000,0,39073.3859757312,11727.8844429192,40795.4993242506,-3777.49229194297,-1133.81505026059
39719.9829101563,12000,777.697844064407,317.468158710121,3943.98080092483,3450.13041183532,0,40716.6185403284,0.1894998,0.387568482223985,0,0.291594591520855,0.0959738907031298,2777.49227903185,1133.81508188878,-1000,0,38997.8349104308,11705.2081424208,40716.6185403284,-3777.49227903185,-1133.81508188878
39699.9816894531,12000,833.247688144685,340.144460474833,3943.98079764485,3450.13051117831,0,40637.7377564716,0.2064804,0.38756849363341,0,0.291594600159527,0.0959738934738824,2777.49226609567,1133.81511357837,-1000,0,38922.2838453887,11682.5318412899,40637.7377564716,-3777.49226609567,-1133.81511357837
39679.98046875,12000,888.797531965736,362.82076287457,3943.9807943585,3450.13061071452,0,40558.8569726805,0.2233476,0.387568505065024,0,0.291594608815,0.0959738962500237,2777.49225313433,1133.81514532959,-1000,0,38846.7327806053,11659.8555395252,40558.8569726805,-3777.49225313433,-1133.81514532959
39659.9792480469,12000,944.347375527055,385.497065910569,3943.98079106573,3450.13071044469,0,40479.9761889551,0.241146,0.387568516518915,0,0.29159461748734,0.0959738990315747,2777.49224014774,1133.81517714268,-1000,0,38771.1817160811,11637.1792371254,40479.9761889551,-3777.49224014774,-1133.81517714268
39639.9780273438,12000,999.897218828134,408.173369584072,3943.98078776654,3450.13081036958,0,40401.0954052955,0.2566827,0.387568527995169,0,0.291594626176612,0.0959739018185567,2777.49222713579,1133.81520901789,-1000,0,38695.6306518167,11614.5029340894,40401.0954052955,-3777.49222713579,-1133.81520901789
39619.9768066406,12000,1055.44706186847,430.849673896326,3943.98078446089,3450.13091048995,0,40322.2146217019,0.2734752,0.387568539493874,0,0.291594634882883,0.0959739046109908,2777.49221409838,1133.81524095545,-1000,0,38620.0795878125,11591.8266304159,40322.2146217019,-3777.49221409838,-1133.81524095545
39599.9755859375,12000,1110.99690464754,453.525978848583,3943.98078114877,3450.13101080657,0,40243.3338381744,0.2902953,0.387568551015118,0,0.29159464360622,0.0959739074088985,2777.49220103542,1133.81527295562,-1000,0,38544.528524069,11569.1503261037,40243.3338381744,-3777.49220103542,-1133.81527295562
39579.9743652344,12000,1166.54674716484,476.202284442101,3943.98077783014,3450.1311113202,0,40164.4530547132,0.306891,0.38756856255899,0,0.291594652346689,0.0959739102123011,2777.4921879468,1133.81530501863,-1000,0,38468.9774605868,11546.4740211514,40164.4530547132,-3777.4921879468,-1133.81530501863
39559.9731445313,12000,1222.09658941985,498.878590678141,3943.98077450497,3450.13121203163,0,40085.5722713184,0.3235333,0.387568574125578,0,0.291594661104357,0.0959739130212204,2777.49217483243,1133.81533714474,-1000,0,38393.4263973664,11523.7977155579,40085.5722713184,-3777.49217483243,-1133.81533714474
39539.9719238281,12000,1277.64643141206,521.55489755797,3943.98077117326,3450.13131294164,0,40006.6914879901,0.3405615,0.387568585714971,0,0.291594669879293,0.095973915835678,2777.49216169219,1133.81536933419,-1000,0,38317.8753344083,11501.1214093219,40006.6914879901,-3777.49216169219,-1133.81536933419
39519.970703125,12000,1333.19627314094,544.23120508286,3943.98076783496,3450.13141405101,0,39927.8107047284,0.3565885,0.387568597327262,0,0.291594678671566,0.095973918655696,2777.492148526,1133.81540158724,-1000,0,38242.3242717129,11478.445102442,39927.8107047284,-3777.492148526,-1133.81540158724
39499.9694824219,12000,1388.74611460598,566.907513254087,3943.98076449005,3450.13151536052,0,39848.9299215334,0.3739488,0.387568608962539,0,0.291594687481242,0.0959739214812962,2777.49213533374,1133.81543390413,-1000,0,38166.7732092809,11455.7687949171,39848.9299215334,-3777.49213533374,-1133.81543390413
39479.9682617188,12000,1444.29595580665,589.583822072934,3943.9807611385,3450.13161687097,0,39770.0491384054,0.3906751,0.387568620620893,0,0.291594696308393,0.0959739243125008,2777.49212211532,1133.81546628511,-1000,0,38091.2221471128,11433.0924867459,39770.0491384054,-3777.49212211532,-1133.81546628511
39459.9670410156,12000,1499.84579674243,612.260131540688,3943.9807577803,3450.13171858317,0,39691.1683553444,0.4072624,0.387568632302418,0,0.291594705153086,0.0959739271493322,2777.49210887063,1133.81549873046,-1000,0,38015.671085209,11410.4161779271,39691.1683553444,-3777.49210887063,-1133.81549873046
39439.9658203125,12000,1555.39563741279,634.936441658642,3943.98075441541,3450.13182049791,0,39612.2875723506,0.4244631,0.387568644007205,0,0.291594714015392,0.0959739299918127,2777.49209559956,1133.81553124041,-1000,0,37940.1200235701,11387.7398684593,39612.2875723506,-3777.49209559956,-1133.81553124041
39419.9645996094,12000,1610.94547781719,657.612752428091,3943.9807510438,3450.13192261601,0,39533.4067894241,0.4409846,0.387568655735346,0,0.291594722895381,0.0959739328399649,2777.49208230201,1133.81556381523,-1000,0,37864.5689621966,11365.0635583414,39533.4067894241,-3777.49208230201,-1133.81556381523
39399.9633789063,12000,1666.49531795511,680.28906385034,3943.98074766545,3450.13202493826,0,39454.526006565,0.4570672,0.387568667486936,0,0.291594731793125,0.0959739356938114,2777.49206897787,1133.81559645518,-1000,0,37789.0179010891,11342.3872475719,39454.526006565,-3777.49206897787,-1133.81559645518
39379.9621582031,12000,1722.04515782602,702.965375926695,3943.98074428034,3450.13212746551,0,39375.6452237734,0.4743206,0.387568679262068,0,0.291594740708693,0.095973938553375,2777.49205562705,1133.81562916051,-1000,0,37713.466840248,11319.7109361497,39375.6452237734,-3777.49205562705,-1133.81562916051
39359.9609375,12000,1777.59499742937,725.64168865847,3943.98074088843,3450.13223019856,0,39296.7644410496,0.4913693,0.387568691060836,0,0.291594749642158,0.0959739414186788,2777.49204224942,1133.8156619315,-1000,0,37637.915779674,11297.0346240733,39296.7644410496,-3777.49204224942,-1133.8156619315
39339.9597167969,12000,1833.14483676463,748.318002046982,3943.9807374897,3450.13233313824,0,39217.8836583937,0.508069,0.387568702883337,0,0.291594758593591,0.0959739442897457,2777.49202884488,1133.8156947684,-1000,0,37562.3647193675,11274.3583113415,39217.8836583937,-3777.49202884488,-1133.8156947684
39319.9584960938,12000,1888.69467583126,770.994316093557,3943.98073408411,3450.13243628539,0,39139.0028758057,0.5250846,0.387568714729664,0,0.291594767563065,0.0959739471665991,2777.49201541333,1133.81572767148,-1000,0,37486.8136593291,11251.681997953,39139.0028758057,-3777.49201541333,-1133.81572767148
39299.9572753906,12000,1944.24451462872,793.670630799522,3943.98073067165,3450.13253964085,0,39060.1220932858,0.5415911,0.387568726599916,0,0.291594776550654,0.0959739500492623,2777.49200195465,1133.81576064101,-1000,0,37411.2625995594,11229.0056839064,39060.1220932858,-3777.49200195465,-1133.81576064101
39279.9560546875,12000,1999.79435315646,816.346946166212,3943.98072725229,3450.13264320546,0,38981.2413108342,0.5580898,0.387568738494188,0,0.291594785556429,0.0959739529377588,2777.49198846874,1133.81579367725,-1000,0,37335.7115400588,11206.3293692005,38981.2413108342,-3777.49198846874,-1133.81579367725
39259.9548339844,12000,2055.3441900363,839.023265569726,3943.98065190859,3450.13268406784,0.000325576648289487,38902.3605284509,0.5763841,0.387568811164508,0,0.291594794580465,0.0959740165840428,2777.49190607397,1133.81599551848,-999.999999999982,0.000189412816008636,37260.1604808279,11183.6530538338,38902.3605284509,-3777.49190607395,-1133.81580610567
39239.9536132813,12000,2110.89402271379,861.699595267686,3943.98044312343,3450.13260730887,0.000929806308527149,38823.4797464855,0.5917855,0.387568996483601,0,0.291594803529379,0.095974192954222,2777.49169595617,1133.81651024074,-999.999999999733,0.000730352198995672,37184.6094232449,11160.9767344303,38823.4797464855,-3777.49169595591,-1133.81577988855
39219.9523925781,12000,2166.44384736405,884.375944629796,3943.98003436981,3450.13235267176,0.00183550423006331,38744.5989655856,0.6085566,0.387569350474802,0,0.291594812229067,0.0959745382457348,2777.49129459493,1133.81749344829,-999.999999998383,0.00179820527395771,37109.0583698643,11138.3004047323,38744.5989655856,-3777.49129459331,-1133.81569524302
39199.951171875,12000,2221.99365887963,907.052326167679,3943.97935837885,3450.13185821005,0.00304617199198517,38665.718186721,0.6257937,0.387569929698541,0,0.291594820417468,0.0959751092810725,2777.49063786046,1133.819102237,-999.999999993626,0.00357039630202361,37033.5073245109,11115.6240553702,38665.718186721,-3777.49063785408,-1133.81553184069
