xplane,yplane,xrocket,yrocket,vc,xnc,xnt,rtm,time
40000,12000,0,0,3944.03310871154,3448.54574153893,0,41761.2260356422,
40000,12000,0,0,3944.03310871154,3448.54574153893,0,41761.2260356422,
39960,11999.99,55.14862,24.00874,3943.92856695194,3451.71207085144,0,41722.9133965374,
39936.87,11999.99,87.13376,37.56809,3943.9329516143,3451.57933182673,0,41641.0377775853,
39903.3,11999.99,133.4697,57.54845,3943.87932744577,3453.20234834748,0,41574.3507686844,
39870.57,11999.99,178.6453,77.00913,3943.84623157089,3454.20363866473,0,41492.882236815,
39837.23,11999.99,224.6633,96.8591,3943.80986408745,3455.30355169879,0,41412.0844684856,
39804.44,11999.99,269.9218,116.3711,3943.77599828882,3456.32746665752,0,41330.8974639609,
39771.17,11999.99,315.8353,136.1876,3943.73977660798,3457.42225210214,0,41250.075740089,
39737.29,11999.99,362.5755,156.3876,3943.70271474413,3458.54204865994,0,41167.961797401,
39703.47,11999.99,409.2374,176.5592,3943.6668405216,3459.62559283306,0,41084.9983676597,
39671.77,11999.99,452.9882,195.4151,3943.63644082525,3460.54350091476,0,41004.1496198627,
39638.11,11999.99,499.4264,215.499,3943.59673477093,3461.74201966748,0,40924.5891112899,
39604.39,11999.99,545.9518,235.63,3943.56043632956,3462.83729268049,0,40842.0398270985,
39571.86,11999.99,590.8422,255.0236,3943.52737123885,3463.83468025121,0,40760.5335351598,
39538.3,11999.99,637.1245,275.0581,3943.48920680106,3464.9855051319,0,40679.8301518047,
39505.48,11999.99,682.4051,294.6433,3943.45484492687,3466.02131685977,0,40598.3078952517,
39472.9,11999.99,727.3358,314.0761,3943.41969799223,3467.08045160968,0,40518.1171496051,
39437.42,11999.99,776.2507,335.3383,3943.3760400145,3468.39558108184,0,40435.5217905523,
39403.7,11999.99,822.7497,355.5013,3943.34268081832,3469.4001166162,0,40350.2694253468,
39371.17,11999.98,867.6197,374.9281,3943.30910016543,3470.41100703731,0,40268.7834369842,
39337.42,11999.98,914.1547,395.1221,3943.26977881629,3471.59431192357,0,40187.9053923413,
39304.35,11999.98,959.7653,414.9011,3943.23455263722,3472.65401419793,0,40105.8576100453,
39271.74,11999.98,1004.732,434.3931,3943.19922235607,3473.71650117462,0,40025.262097789,
39238.1,11999.98,1051.114,454.5394,3943.16002859663,3474.89476828937,0,39944.3763753309,
39203.91,11999.98,1098.236,475.0327,3943.12122713115,3476.06082158585,0,39861.426525397,
39171.19,11999.98,1143.351,494.614,3943.08747025352,3477.07493606606,0,39779.0698244267,
39140.59,11999.98,1185.558,512.8781,3943.05667063136,3477.9999338074,0,39700.9267540609,
39108.21,11999.98,1230.197,532.2562,3943.01672889819,3479.1991029443,0,39624.2484254409,
39075.08,11999.98,1275.859,552.1093,3942.9780143461,3480.36100698843,0,39544.204672214,
39042.34,11999.98,1321.001,571.7318,3942.94172054562,3481.44988282563,0,39463.4069637532,
39008.87,11999.98,1367.121,591.8099,3942.90256232637,3482.62428796799,0,39382.4874324219,
38975.82,11999.98,1412.671,611.6335,3942.86589438243,3483.72362285904,0,39300.8968891008,
38942.41,11999.98,1458.709,631.689,3942.82728970246,3484.88062204878,0,39219.5857530939,
38909.24,11999.98,1504.412,651.5979,3942.78998010411,3485.99841696405,0,39137.9701215216,
38876.36,11999.98,1549.733,671.3395,3942.75287628722,3487.10966675083,0,39056.9843510309,
38841.42,11999.98,1597.856,692.3777,3942.70927360645,3488.4150721122,0,38974.452443152,
38805.9,11999.98,1646.77,713.7903,3942.66798950972,3489.65058097364,0,38888.3070128843,
38774.87,11999.98,1689.533,732.3831,3942.64070537621,3490.46685638841,0,38805.5933136868,
38740.76,11999.98,1736.514,752.9183,3942.59539432907,3491.82200273287,0,38726.6370981685,
38709.98,11999.98,1778.941,771.3721,3942.56577113843,3492.70765840231,0,38646.2600553061,
38676.89,11999.98,1824.515,791.2745,3942.52271218299,3493.99458007491,0,38568.6465347074,
38643.14,11999.98,1871,811.6044,3942.48221902831,3495.2043541852,0,38486.9622987629,
38610.39,11999.98,1916.11,831.3087,3942.44588202092,3496.28957804042,0,38405.2400865317,
38577.13,11999.98,1961.909,851.3379,3942.40592902214,3497.48237968114,0,38324.5339568892,
38544.14,11999.98,2007.34,871.2051,3942.36767746727,3498.62397692012,0,38243.3286012196,
38511.05,11999.98,2052.906,891.142,3942.32847538518,3499.79352884665,0,38162.426422601,
38477.76,11999.98,2098.747,911.2139,3942.28877609471,3500.97748852121,0,38081.1830336564,
38444.42,11999.98,2144.65,931.3216,3942.24925653082,3502.15566289786,0,37999.5895583841,
38411.14,11999.98,2190.465,951.397,3942.20988843202,3503.32890028174,0,37917.9865220974,
38378.31,11999.98,2235.667,971.1972,3942.17161597104,3504.46908292361,0,37836.9056312943,
38345.45,11999.98,2280.903,991.0204,3942.13222616465,3505.64213832335,0,37756.4655217936,
38312.2,11999.98,2326.673,1011.098,3942.09160244298,3506.85150078724,0,37675.6111633769,
38279.23,11999.98,2372.053,1031.004,3942.05253816719,3508.01401801776,0,37594.4424371968,
38245.35,11999.98,2418.68,1051.494,3942.01002263249,3509.27877326027,0,37512.8253839929,
38212.98,11999.98,2463.246,1071.039,3941.97385520163,3510.35430079164,0,37431.2834332346,
38177.61,11999.98,2511.891,1092.484,3941.92536441624,3511.79574045799,0,37349.1332809152,
38144.18,11999.98,2557.904,1112.714,3941.88893245906,3512.87830230917,0,37264.368527681,
38112.55,11999.98,2601.433,1131.804,3941.85378907215,3513.92223654652,0,37184.2090878441,
38079.9,11999.98,2646.355,1151.545,3941.81159198198,3515.17526261357,0,37105.7845481815,
38045.06,11999.98,2694.276,1172.686,3941.76471169151,3516.56679408409,0,37023.7364160562,
38013.15,11999.98,2738.186,1191.974,3941.73142598749,3517.55444442652,0,36941.2158729949,
37979.78,11999.98,2784.095,1212.196,3941.68722176164,3518.86560942974,0,36861.6732115862,
37944.39,11999.98,2832.752,1233.706,3941.63981247562,3520.27126039557,0,36778.0199298022,
37913.98,11999.98,2874.601,1252.067,3941.61208374789,3521.09311863681,0,36696.1239018718,
37880.46,11999.98,2920.709,1272.406,3941.5653875695,3522.52439112979,0.00168590436265675,36618.6782201122,
37845.71,11999.98,2968.486,1293.531,3941.52472560114,3523.87666801602,0.00524470027214147,36535.4123840616,
37812.45,11999.98,3014.22,1313.712,3941.49603154904,3525.0165629938,0.0103094522742971,36451.7472999319,
37778.77,11999.98,3060.533,1334.172,3941.46883283592,3526.30388053075,0.0171408766973272,36369.9066618664,
37748.93,11999.98,3101.59,1352.205,3941.46132023625,3527.21566483314,0.0245283347849397,36291.1033292796,
37716.18,11999.98,3146.614,1372.081,3941.44519034759,3528.65532695108,0.0342428501154925,36215.2613082706,
37682.13,11999.98,3193.425,1392.797,3941.44197741113,3530.04444207311,0.046085653897351,36133.8316014229,
37649.66,11999.98,3238.054,1412.507,3941.4584208751,3531.21254409269,0.0589541577696001,36051.9693343311,
37616.59,11999.98,3283.498,1432.603,3941.48289234774,3532.55673969851,0.0736990697774508,35971.914344404,
