xplane,yplane,xrocket,yrocket,vc,xnc,xnt,rtm,time,theta,he,lamda,xlead,vm1,vm2,vt1,vt2,rtm1,rtm2,rtm,vtm1,vtm2
34444.970703125,12157.4722290039,15384.4233790875,6443.37221304579,3900.41687666757,3412.59785406738,1.42533516185726,19958.1415143674,4.6273906,0.41890454588002,0,0.291643856026576,0.127260689853444,2740.60522568677,1220.27988467334,-995.106862547339,98.8045146296007,19115.3594273261,5738.50561310607,19958.1415143674,-3735.71208823411,-1121.47537004374
34425.0701904297,12159.4650268555,15439.2291413844,6467.7920463401,3900.00049958597,3412.24269544662,1.43133516172315,19880.1395380003,4.644408,0.419164287231413,0,0.291644637465121,0.127519649766292,2740.28817609576,1220.99169200685,-995.024241341329,99.6331227208787,19040.6468113422,5716.09281380968,19880.1395380003,-3735.31241743709,-1121.35856928597
34405.17578125,12161.474609375,15494.0285361137,6492.22616544369,3899.58158837071,3411.88471782359,1.43733516158904,19802.1502134197,4.661174,0.419424964914584,0,0.291645367629395,0.127779597285189,2739.96979770872,1221.70598248679,-994.940579484556,100.465134723122,18965.9466398656,5693.6825630349,19802.1502134197,-3734.91037719328,-1121.24084776367
34385.2783203125,12163.5009765625,15548.8215325218,6516.6746292745,3899.16006814342,3411.52537714736,1.44333516145493,19724.164783134,4.6771506,0.419686748182373,0,0.291646176571882,0.128040571610491,2739.64988164228,1222.42321886384,-994.855868322717,101.300549178431,18891.2497841988,5671.27481111881,19724.164783134,-3734.505749965,-1121.12266968541
34365.3839111328,12165.5418395996,15603.6081063545,6541.13748206697,3898.73603115261,3411.16237603791,1.44933516132082,19646.1884473311,4.6945379,0.419949369427257,0,0.291646860998131,0.128302508429126,2739.32875286175,1223.14266696282,-994.770099167105,102.139364610654,18816.562378611,5648.8672103251,19646.1884473311,-3734.09885202885,-1121.00330235216
34345.4895019531,12167.5987243652,15658.3882296455,6565.61477626553,3898.30940974869,3410.79700670919,1.45533516118671,19568.2187323673,4.7114434,0.420212978833829,0,0.291647536423494,0.128565442410335,2739.00622577502,1223.86473728336,-994.683263294647,102.981579525231,18741.8813955987,5626.46124229826,19568.2187323673,-3733.68948906967,-1120.88315775813
34325.5981445313,12169.6754455566,15713.1618699451,6590.10657422725,3897.88012376808,3410.4308284148,1.4613351610526,19490.2596696787,4.7275497,0.42047775774431,0,0.291648342186396,0.128829415557914,2738.68207619415,1224.58992545787,-994.595351947944,103.827192409049,18667.2099148857,5604.06066929111,19490.2596696787,-3733.27742814209,-1120.76273304882
34305.7098388672,12171.768951416,15767.9289996817,6614.6129272707,3897.4482401495,3410.06211545182,1.46733516091849,19412.3103949425,4.7449506,0.420743505038811,0,0.291649125729935,0.129094379308876,2738.35654803333,1225.31767956029,-994.506356335303,104.676201730288,18592.5479689221,5581.66237718876,19412.3103949425,-3732.86290436863,-1120.64147783
34285.8215332031,12173.8784790039,15822.6895911314,6639.13388694072,3897.0137468555,3409.69090842796,1.47333516078438,19334.3677775545,4.7614455,0.421010225214025,0,0.291649891422566,0.129360333791459,2738.02963368815,1226.04801090558,-994.416267630778,105.528605938266,18517.8925335215,5559.26555173321,19334.3677775545,-3732.44590131893,-1120.51940496731
34265.9362792969,12176.0055541992,15877.443615687,6663.66950664016,3896.57662024116,3409.31750385109,1.47933516065027,19256.435190871,4.7784494,0.421277952570538,0,0.291650666394449,0.129627286176089,2737.701288971,1226.78101239241,-994.325076974205,106.384403463294,18443.2466881654,5536.87166725849,19256.435190871,-3732.0263659452,-1120.39660892911
34246.0510253906,12178.150177002,15932.1910433526,6688.21984274915,3896.13682856458,3408.94237380279,1.48533516051616,19178.5097240534,4.7944545,0.42154674187284,0,0.291651493415228,0.129895248457612,2737.37144446627,1227.51683288687,-994.232775471245,107.243592716516,18368.6074097036,5514.48067036179,19178.5097240534,-3731.60421993752,-1120.27324017036
34226.1749267578,12180.3108215332,15986.9318510979,6712.78493600075,3895.69447234386,3408.56307018544,1.49133516038205,19100.5997195253,4.8114621,0.421816307684243,0,0.291652155508545,0.130164152175697,2737.04044844267,1228.25469003328,-994.139354193415,108.106172089758,18293.9838834052,5492.09097878405,19100.5997195253,-3731.17980263609,-1120.14851794352
34206.2927246094,12182.4897766113,16041.6660048977,6737.3648515192,3895.24936760147,3408.18342282339,1.49733516024794,19022.6912313331,4.8281231,0.422087095936784,0,0.291652994129274,0.13043410180751,2736.70775115705,1228.99580339271,-994.044804178135,108.972139955376,18219.3608735115,5469.70484061058,19022.6912313331,-3730.75255533519,-1120.02366343734
34186.4135742188,12184.6862792969,16096.3934764753,6761.95964149159,3894.80159549723,3407.80140865254,1.50333516011383,18944.7928226178,4.8454708,0.422358870703497,0,0.291653830119981,0.130705040583516,2736.37364004471,1229.73952610644,-993.949116428763,109.841494666098,18144.7475693211,5447.32142777768,18944.7928226178,-3730.32275647347,-1119.89803144034
34166.5374755859,12186.9003295898,16151.1142376428,6786.56935779069,3894.35114757768,3407.41698388461,1.50933515997972,18866.9045054555,4.8617245,0.422631626621772,0,0.291654660366555,0.130976966255217,2736.03811952784,1230.4858424584,-993.852281914636,110.714234554868,18070.1439991106,5424.94068809825,18866.9045054555,-3729.89040144248,-1119.77160790353
34146.6644287109,12189.1304016113,16205.8282628095,6811.19404640037,3893.89805537406,3407.02923071308,1.51533515984561,18789.0258531799,4.8789561,0.422905256442719,0,0.291655403939073,0.131249852503647,2735.70131948322,1231.23445800455,-993.754291571114,111.590357934696,17995.5501910682,5402.56104382064,18789.0258531799,-3729.45561105434,-1119.64410006986
34126.7913818359,12191.3795471191,16260.5355199496,6835.83376748782,3893.44220640044,3406.64037867431,1.52133515971149,18711.1548316947,4.8976044,0.423180019767499,0,0.29165626011469,0.131523759652809,2735.36291814849,1231.98608190929,-993.655136299615,112.469863098495,17920.9631190265,5380.18550071877,18711.1548316947,-3729.0180544481,-1119.51621881079
34106.9213867188,12193.6454772949,16315.2359824071,6860.48856917039,3892.98367631175,3406.24854406807,1.52733515957738,18633.2937191298,4.9119604,0.423455696750476,0,0.29165706197662,0.131798634773857,2735.02318400588,1232.74011168224,-993.554806967661,113.352748318927,17846.3858667691,5357.8117098071,18633.2937191298,-3728.57799097354,-1119.38736336332
34087.0513916016,12195.9297180176,16369.9296195625,6885.15850824176,3892.52239177668,3405.85509308602,1.53333515944327,18555.4400430519,4.9289461,0.423732446388097,0,0.291657931994706,0.13207451439339,2734.68191889284,1233.49698113963,-993.45329440892,114.239011848246,17771.8154091945,5335.44114884719,18555.4400430519,-3728.13521330176,-1119.25796929139
34067.1936035156,12198.2292175293,16424.6164121121,6909.84361629705,3892.05852410622,3405.45608041359,1.53933515930916,18477.6046304605,4.9459915,0.424009808322982,0,0.291658519463093,0.132351288859889,2734.33968859881,1234.25543035199,-993.350589423247,115.128651918139,17697.2639839532,5313.07070928753,18477.6046304605,-3727.69027802206,-1119.12677843385
34047.3297119141,12200.5493164063,16479.2963226989,6934.54396482275,3891.59177393662,3405.05776689953,1.54533515917505,18399.7714891296,4.9622223,0.424288512350472,0,0.29165938298945,0.132629129361022,2733.99559044768,1235.01745388989,-993.246682776727,116.021666739569,17622.713299802,5290.7057001092,18399.7714891296,-3727.2422732244,-1118.99578715032
34027.4658203125,12202.8861999512,16533.9693235139,6959.25960402038,3891.12228414886,3404.65682101427,1.55133515904094,18321.9453831578,4.9794539,0.424568169684485,0,0.291660226569569,0.132907943114916,2733.65010185309,1235.78198750369,-993.141565201721,116.918054502611,17548.1694976136,5268.34223512842,18321.9453831578,-3726.79166705482,-1118.86393300108
34007.6049804688,12205.2429199219,16588.6353832185,6983.9905917775,3890.6499878259,3404.25445395275,1.55733515890683,18244.1301251312,4.9955075,0.42484892130803,0,0.291661158984136,0.133187762323894,2733.30304632315,1236.54941549483,-993.035227396907,117.8178133763,17473.6356569549,5245.98331590149,18244.1301251312,-3726.33827372006,-1118.73160211853
33987.7502441406,12207.6072692871,16643.2944929379,7008.7369362296,3890.17523703117,3403.84287059693,1.56333515877272,18166.3251412364,5.0129979,0.425129857435842,0,0.291661485939865,0.133468371495977,2732.95554705996,1237.3172502613,-992.927660027327,118.720941508463,17399.1148609222,5223.61667750961,18166.3251412364,-3725.88320708729,-1118.59630875284
33967.8924560547,12209.9990844727,16697.9466053513,7033.49873034517,3889.69740185876,3403.43537904342,1.56933515863861,18088.5273728509,5.0295148,0.425412530395855,0,0.29166239490481,0.133750135491046,2732.60568174797,1238.08973345178,-992.818853724432,119.627437025565,17324.5979631168,5201.26214824305,18088.5273728509,-3725.4245354724,-1118.46229642622
33948.0377197266,12212.4069213867,16752.5916959206,7058.276016632,3889.21683940571,3403.02407319663,1.5753351585045,18010.7393936364,5.0463507,0.425696017452012,0,0.291663181707694,0.134032835744318,2732.25458953607,1238.86434203228,-992.708799086124,120.537298032541,17250.0911143752,5178.90819104155,18010.7393936364,-3724.9633886222,-1118.32704399974
33928.1860351563,12214.8345947266,16807.2297336351,7083.06885176188,3888.73343485633,3402.61118029161,1.58133515837039,17932.9623117683,5.0629128,0.425980578174004,0,0.291664045829815,0.134316532344189,2731.90194678732,1239.64178420205,-992.597486676808,121.45052261264,17175.5943392356,5156.55857809456,17932.9623117683,-3724.49943346413,-1118.19126158941
33908.3374023438,12217.2813415527,16861.8606888801,7107.8772891993,3888.24720044238,3402.19620377935,1.58733515823628,17855.1959212743,5.0800184,0.426266154292413,0,0.291664943816009,0.134601210476403,2731.5478233048,1240.42189959659,-992.484907027436,122.36710882726,17101.1076687086,5134.21248979086,17855.1959212743,-3724.03273033224,-1118.05479076933
33888.4887695313,12219.7471618652,16916.4845305216,7132.70138562575,3887.75810112152,3401.77965453005,1.59333515810217,17777.4373122756,5.095967,0.42655280511919,0,0.291665922111489,0.134886883007702,2731.19214312274,1241.20484906587,-992.371050635551,123.287054715783,17026.6280806511,5111.86987266594,17777.4373122756,-3723.56319375829,-1117.91779435009
33868.6431884766,12222.2305297852,16971.1012317861,7157.54118800123,3887.26619737553,3401.36001467328,1.59933515796806,17699.6889824009,5.1137705,0.426840353102725,0,0.291666846053206,0.135173507049518,2730.83512426342,1241.99014653465,-992.255907965342,124.210358295416,16952.1586579549,5089.5291441594,17699.6889824009,-3723.09103222877,-1117.77978823924
33848.8037109375,12224.732208252,17025.710766285,7182.39674232791,3886.77148527812,3400.93714058161,1.60533515783395,17621.9540860389,5.1300387,0.427128781079298,0,0.29166770359953,0.135461077479768,2730.47678597346,1242.77774411197,-992.139469447684,125.137017561024,16877.7024791514,5067.19102025072,17621.9540860389,-3722.61625542115,-1117.64072655094
33828.9642333984,12227.2483825684,17080.3131112674,7207.26808651133,3886.27401401359,3400.5097692939,1.61133515769984,17544.2256925775,5.1464777,0.427417941136058,0,0.291668382708985,0.135749558427073,2730.11731014303,1243.56723696686,-992.021725480195,126.067030484965,16803.2534671135,5044.85164024045,17544.2256925775,-3722.13903562323,-1117.50020648189
33809.1247558594,12229.7782897949,17134.9082455017,7232.15525503268,3885.77379845543,3400.07737054343,1.61733515756573,17466.5035935165,5.1640386,0.427707770863493,0,0.291668836710201,0.136038934153291,2729.75677272808,1244.35845388103,-991.902666427278,127.000395016926,16728.811644592,5022.5102032836,17466.5035935165,-3721.65943915536,-1117.3580588641
33789.2883300781,12232.3371887207,17189.4961222142,7257.05833827726,3885.27041054592,3399.64871721974,1.62333515743162,17388.7951098263,5.1805419,0.427999294663486,0,0.291669850313976,0.13632944434951,2729.39389663246,1245.1541900606,-991.782282620178,127.937109083759,16654.3800845765,5000.18193368803,17388.7951098263,-3721.17617925264,-1117.21708097684
33769.4549560547,12234.9143981934,17244.0767137839,7281.97738446615,3884.76415256316,3399.21720459254,1.62933515729751,17311.0971889447,5.1972934,0.428291740723205,0,0.291670834324202,0.136620906399003,2729.02963948573,1245.95233729399,-991.660564357025,128.877170589311,16579.9588338405,4977.8560599161,17311.0971889447,-3720.69020384276,-1117.07516670468
33749.6246337891,12237.5068664551,17298.649998226,7306.91242936836,3884.255106663,3398.78088701184,1.6353351571634,17233.4089659141,5.213932,0.428584881265421,0,0.291671615593392,0.13691326567203,2728.6642830926,1246.75227297758,-991.537501902892,129.820577414261,16505.5479200052,4955.52948198892,17233.4089659141,-3720.20178499549,-1116.93169556332
33729.7973632813,12240.119934082,17353.2159440032,7331.86352955466,3883.74310574788,3398.3430333435,1.64133515702929,17155.7319872026,5.2328416,0.428879097816878,0,0.291672487152408,0.137206610664471,2728.29734984241,1247.55503719991,-991.413085489843,130.76732741595,16431.1473650553,4933.20750471367,17155.7319872026,-3719.71043533226,-1116.78770978396
33709.9700927734,12242.7528381348,17407.7745193658,7356.8307419234,3883.22813558467,3397.90370204229,1.64733515689518,17078.063124501,5.2474635,0.429174396841366,0,0.291673455125731,0.137500941715636,2727.92882910646,1248.36064633978,-991.287305316984,131.717418428214,16356.7541487703,4910.8893085801,17078.063124501,-3719.21613442344,-1116.64322791156
33690.1458740234,12245.4071044922,17462.3256915092,7381.81412553827,3882.71016799791,3397.46323981875,1.65333515676106,17000.4057535002,5.2642999,0.429470818497396,0,0.291674551435861,0.137796267061535,2727.55866813595,1249.16920866489,-991.16015155052,132.670848261217,16282.3713546576,4888.57636256879,17000.4057535002,-3718.71881968647,-1116.49836040367
33670.3247070313,12248.0796813965,17516.8694333253,7406.81372689046,3882.1892862098,3397.01968242405,1.65933515662695,16922.7590110861,5.2810537,0.429768132764403,0,0.291675601229341,0.138092531535062,2727.18715176145,1249.98009554844,-991.031614323804,133.627614701281,16207.999015522,4866.26555585821,16922.7590110861,-3718.21876608525,-1116.35248084716
33650.5065917969,12250.7713317871,17571.4057164062,7431.82959519006,3881.66545823254,3396.57346351598,1.66533515649284,16845.1231292398,5.2973298,0.43006638988923,0,0.291676644133278,0.138389745755953,2726.81421499597,1250.79344293769,-990.901683737396,134.587715510717,16133.6371584716,4843.95760489665,16845.1231292398,-3717.71589873336,-1116.20572742698
33630.6915283203,12253.4812927246,17625.9345138736,7456.8617761944,3881.13869879761,3396.12404903977,1.67133515635873,16767.4979016275,5.3142325,0.430365526964547,0,0.291677633172613,0.138687893791933,2726.43993430746,1251.60907819237,-990.77034985911,135.551148427655,16059.2858119141,4821.65169753455,16767.4979016275,-3717.21028416657,-1116.05792976471
33610.8825683594,12256.2126159668,17680.4557949614,7481.91032400883,3880.60893288291,3395.67275551559,1.67733515622462,16689.8871412551,5.330969,0.430665697495268,0,0.291678687051909,0.138987010443359,2726.06411532253,1252.42741871568,-990.637602724077,136.517911165873,15984.9480544858,4799.3508397724,16689.8871412551,-3716.7017180466,-1115.90950754981
33591.0736083984,12258.9630126953,17734.9695298446,7506.97529055872,3880.07616529176,3395.21924863441,1.68333515609051,16612.2843581413,5.3480765,0.430966861945604,0,0.291679776718946,0.139287085226659,2725.68680508604,1253.24835550654,-990.503432334796,137.488001414627,15910.6178134371,4777.05268868648,16612.2843581413,-3716.19023742084,-1115.76035409191
33571.2677001953,12261.7324829102,17789.4756905274,7532.05672366554,3879.54041567664,3394.76289248076,1.6893351559564,16534.6924887786,5.3648056,0.43126894546405,0,0.291680846075052,0.139588099388998,2725.30809505355,1254.07168337203,-990.36782866119,138.461416838481,15836.2981703507,4754.75719235144,16534.6924887786,-3715.67592371474,-1115.61026653355
33551.4617919922,12264.5210266113,17843.9742473779,7557.1546745834,3879.00164609682,3394.30423301906,1.69533515582229,16457.1086233708,5.3815678,0.431572011446465,0,0.291681944883466,0.139890066562999,2724.92790343424,1254.89757394199,-990.230781640667,139.438155077131,15761.9861014648,4732.46430294579,16457.1086233708,-3715.1586850749,-1115.45941886486
33531.6589355469,12267.3316955566,17898.4651667642,7582.26920311774,3878.45977895756,3393.8446189892,1.70133515568818,16379.5365759937,5.3983133,0.431876217263949,0,0.291683194911751,0.140193022352198,2724.54603021376,1255.72645478481,-990.092281178172,140.418213745236,15687.6846881689,4710.17702097324,16379.5365759937,-3714.63831139194,-1115.30824103957
33511.8591308594,12270.1599121094,17952.9484239279,7607.40034968736,3877.91495144826,3393.38101817131,1.70733515555407,16301.9750452972,5.4147723,0.432181207596101,0,0.291684325267285,0.140496882328815,2724.16291907375,1256.55735656737,-989.952317146251,141.401590432246,15613.3939640951,4687.89070899163,16301.9750452972,-3714.11523622,-1115.15576613512
33492.0623779297,12273.0072021484,18007.423991304,7632.54816068788,3877.36710607412,3392.91437573233,1.71333515541996,16224.424482156,5.4318354,0.432487092517866,0,0.291685421482457,0.14080167103541,2723.77842968709,1257.39057813049,-989.810879385103,142.388282702223,15539.1139540018,4665.60685246107,16224.424482156,-3713.58930907219,-1115.00229542827
33472.2686767578,12275.8750915527,18061.8918384743,7657.71268857335,3876.81618425256,3392.44564973558,1.71933515528585,16146.8853384206,5.4480737,0.43279398366683,0,0.291686570328468,0.141107413338363,2723.39241938824,1258.22642239729,-989.667957702647,143.378288093673,15464.8446854538,4643.32693086486,16146.8853384206,-3713.06037709088,-1114.84813430362
